timestamp,asset,action,amount_usdt,entry_price,stop_loss,take_profit,signal_score,confidence,reasoning,exit_price,pnl_usdt,pnl_pct,status
2026-06-04T21:00:00+00:00,SOLUSDT,SHORT (3x),104.0,67.8,70.17,63.06,0.96,HIGH,"[BOS & CHOCH | SHORT] Strategy 'BOS & CHOCH' selected with adjusted score 0.96. Current market regime is RANGING (ADX=nan, Bandwidth=0.0532), which favors category 'Smart Money Concepts' (multiplier: 1.2x). Winning setup: Bearish Break of Structure (BOS): Price broke local market structure below swing low of $68.48.. No competing strategies triggered signals.",63.06,21.76,20.97,CLOSED
2026-06-05T18:00:00+00:00,SOLUSDT,SHORT (3x),111.16,62.91,66.49,55.75,1.15,HIGH,"[BOS & CHOCH | SHORT] Strategy 'BOS & CHOCH' selected with adjusted score 1.15. Current market regime is RANGING (ADX=nan, Bandwidth=0.093), which favors category 'Smart Money Concepts' (multiplier: 1.2x). Winning setup: Bearish Break of Structure (BOS): Price broke local market structure below swing low of $63.87.. Chosen over competing strategies: Donchian Channel Breakout (SELL score=0.33), Rate of Change (ROC) (SELL score=0.23).",61.77,5.99,5.44,CLOSED
2026-06-23 22:11:37 UTC,ETH,SHORT (5x),100.0,1701.15,1722.03,1659.39,0.0,MEDIUM,Chat command: take a trade on eth  5x leverage,,,,OPEN
2026-06-23 22:23:07 UTC,ETH,SHORT (5x),200.0,1701.15,1722.03,1659.39,0.0,MEDIUM,"Chat command: short eth with rsi and bollinger, 5x leverage, 200 usdt",,,,OPEN
2026-06-23 22:23:16 UTC,SOL,LONG (4x),100.0,69.5,66.72,75.06,0.0,MEDIUM,Chat command: go long on sol using only supertrend with 4x leverage,,,,OPEN
